time_sec;F_signal;F_signal_DNA
13020;199.3402027;198.2634974
13080;199.3943377;197.5289127
13140;199.3813453;197.6125995
13200;199.8057636;197.6102749
13260;199.2882331;197.5242634
13320;198.7447178;197.0291161
13380;199.6368625;197.8334399
13440;198.448058;197.9287499
13500;198.9201152;197.5498344
13560;199.5329233;197.7358052
13620;199.0500391;197.8148428
13680;199.3142179;197.4963678
13740;199.3315411;198.0124368
13800;199.6303663;198.5610507
13860;199.1409859;198.0054629
13920;198.6667634;198.0426571
13980;199.5480811;197.8683094
14040;199.0088965;197.1802174
14100;199.2817369;197.3475911
14160;199.0218889;197.526588
14220;199.1431513;197.7474284
14280;199.1431513;198.5006102
14340;199.3293757;197.7706747
14400;198.9504308;197.2871506
14460;198.8075144;196.9872726
14520;199.0868509;197.4173302
14580;198.491366;198.2495496
14640;198.7793642;198.0008136
14700;199.1604745;198.0403324
14760;199.0500391;198.0380078
14820;199.5632389;198.0798512
14880;199.4484727;198.1333178
14940;199.6866667;198.11937
15000;198.8659802;197.7985703
15060;198.6581018;198.0891498
15120;198.1557291;198.1774859
15180;198.9266114;196.8919626
15240;198.8854688;197.870634
15300;198.177383;197.2383332
15360;198.5433356;197.6916371
15420;199.1258281;197.7962457
15480;198.7035752;197.5568083
15540;198.9309422;197.0593363
15600;198.7880258;197.0384146
15660;198.4134116;197.4382519
15720;198.8399954;196.9872726
15780;199.1409859;196.7896786
15840;198.0106473;197.4498751
15900;198.5390048;197.5544836
15960;198.3462842;196.8803394
16020;198.9157844;198.1565642
16080;199.2037825;196.3898413
16140;199.1106703;197.1639449
16200;199.1431513;197.5823793
16260;199.0457083;197.4777707
16320;199.4441419;196.7989772
16380;199.3358719;197.1128029
16440;199.0673623;197.2267101
16500;199.2167749;197.2825013
16560;198.4415618;196.6385773
16620;198.848657;196.5014238
16680;198.9980695;196.289882
16740;198.4956968;196.5525658
16800;198.4112462;196.7710815
16860;198.3787652;196.9035857
16920;198.40475;197.0732841
16980;199.1604745;197.4080316
17040;198.5433356;197.0639856
17100;199.0695277;196.7734062
17160;198.5281778;196.6502005
17220;198.6342824;198.0519556
17280;199.8144252;198.2449003
17340;198.6082976;197.7637008
17400;198.8421608;197.0918812
17460;198.902792;197.6079503
17520;199.0392121;197.4963678
17580;198.6905828;197.5544836
17640;198.5931398;197.061661
17700;198.8962958;196.7943279
17760;199.6346971;197.998489
17820;199.7148169;197.1732434
17880;199.0413775;197.0825827
17940;199.4159917;197.2755274
18000;198.556328;196.8175742
18060;198.7338908;196.6664729
18120;198.9417692;196.8454699
18180;199.7408017;196.3224269
18240;198.8183414;197.4173302
18300;198.8031836;197.1848666
